"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:37Tmv4NnfQeb0ZgUC4fOJj","Sultans Of Swing","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:2rCS6Xwx32V27pvgFzLzlT","Dire Straits","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1978-10-07","https://i.scdn.co/image/ab67616d0000b2739dfee5404d5e0763998c958e","1","6","348400",,"false","79","GBF089601041","spotify:user:zfede97","2022-03-25T10:03:42Z"
"spotify:track:5Hk4Mpex0s2ndUpDQ5v2rU","Walk Of Life - Remastered 1996","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:6Pz06FAaeym0JSqVqIkN56","Brothers In Arms (Remastered 1996)","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1985-05-13","https://i.scdn.co/image/ab67616d0000b2733d15b942408bff9f507f189e","1","3","248893",,"false","69","GBUM72102500","spotify:user:zfede97","2022-03-25T10:04:36Z"
"spotify:track:0PNt5WTw092eED0ru9SuIp","Romeo And Juliet","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:3wvclpO3LJmpSQGQ9gBa2a","Making Movies","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1980-10-17","https://i.scdn.co/image/ab67616d0000b273d5b6cadaeec32b45bf0d7cf7","1","2","360666",,"false","70","GBF088000675","spotify:user:zfede97","2022-03-25T10:04:36Z"
"spotify:track:4nFNJmjfgBF7jwv2oBC45b","Money For Nothing - Remastered 1996","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:6Pz06FAaeym0JSqVqIkN56","Brothers In Arms (Remastered 1996)","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1985-05-13","https://i.scdn.co/image/ab67616d0000b2733d15b942408bff9f507f189e","1","2","505333",,"false","65","GBUM72102499","spotify:user:zfede97","2022-03-25T10:04:36Z"
"spotify:track:3elV4E1GOKfF0MVRgdp6eU","Brothers In Arms - Remastered 1996","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:6Pz06FAaeym0JSqVqIkN56","Brothers In Arms (Remastered 1996)","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1985-05-13","https://i.scdn.co/image/ab67616d0000b2733d15b942408bff9f507f189e","1","9","420240",,"false","61","GBUM72102506","spotify:user:zfede97","2022-03-25T10:04:36Z"
"spotify:track:4ZSDreApKOo6eQYFx9qXfD","Tunnel Of Love","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:3wvclpO3LJmpSQGQ9gBa2a","Making Movies","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1980-10-17","https://i.scdn.co/image/ab67616d0000b273d5b6cadaeec32b45bf0d7cf7","1","1","489506",,"false","60","GBF088000674","spotify:user:zfede97","2022-03-25T10:03:42Z"
"spotify:track:79Scr6iQiMOJ8k2BJHGT2A","This Is Us","spotify:artist:0FI0kxP0BWurTz8cB8BBug, spotify:artist:5s6TJEuHTr9GR894wc6VfP","Mark Knopfler, Emmylou Harris","spotify:album:6oGCz3d9MqAB6OVMUOLibu","All The Roadrunning","spotify:artist:0FI0kxP0BWurTz8cB8BBug, spotify:artist:5s6TJEuHTr9GR894wc6VfP","Mark Knopfler, Emmylou Harris","2006-04-24","https://i.scdn.co/image/ab67616d0000b273638164cc8778088460142f81","1","3","275813",,"false","49","GBUM70600464","spotify:user:zfede97","2022-03-25T10:03:42Z"
"spotify:track:65f8Ca4HbZCMLhpZPTHW4O","What It Is","spotify:artist:0FI0kxP0BWurTz8cB8BBug","Mark Knopfler","spotify:album:7oIBSEe5L89s2UXK0I8tYg","Sailing To Philadelphia","spotify:artist:0FI0kxP0BWurTz8cB8BBug","Mark Knopfler","2000-09-26","https://i.scdn.co/image/ab67616d0000b273659eb0074558c8b6827df2ec","1","1","295893",,"false","59","GBF080000154","spotify:user:zfede97","2022-03-25T10:03:42Z"
"spotify:track:5ti5SeraA9Ci7OtbLhEkz2","Sailing To Philadelphia","spotify:artist:0FI0kxP0BWurTz8cB8BBug","Mark Knopfler","spotify:album:5RUE91DSu0BdsiEn4vOrNY","The Best Of Dire Straits & Mark Knopfler - Private Investigations","spotify:artist:0FI0kxP0BWurTz8cB8BBug, spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Mark Knopfler, Dire Straits","2005-01-01","https://i.scdn.co/image/ab67616d0000b273178419da701ab7c7f693c9ac","2","7","353120",,"false","54","GBF080000155","spotify:user:zfede97","2022-03-25T10:03:42Z"
"spotify:track:1ih2064mxsKnMDfWN4jXnR","Silvertown Blues","spotify:artist:0FI0kxP0BWurTz8cB8BBug","Mark Knopfler","spotify:album:6IYYXcvEnP4I9eCkXYd53E","Sailing To Philadelphia","spotify:artist:0FI0kxP0BWurTz8cB8BBug","Mark Knopfler","2000-09-26","https://i.scdn.co/image/ab67616d0000b2732f3bd17b4edfcf5580906575","1","7","330906",,"false","31","GBF080000159","spotify:user:zfede97","2022-03-25T10:03:42Z"
